0	In April 2015, we reported the appearance of a new member of a growing ‘[E11:malware] Duke [E12:malware]’ family that already includes MiniDuke, CosmicDuke and [E21:malware] OnionDuke [E22:malware].	5	similar
1	0211 The past few days has seen an extensive discussion within the IT security industry about a cyberespionage campaign called [E11:attacker] Turla [E12:attacker], aka [E21:attacker] Snake [E22:attacker] and Uroburos, which, according to G-DATA experts, may have been created by Russian special services.	4	same
2	While not conclusive by itself, the use of publicly available Iranian hacking tools and popular Iranian hosting companies may be a result of [E11:attacker] APT33 [E12:attacker]’s familiarity with them and lends support to the assessment that [E21:attacker] APT33 [E22:attacker] may be based in Iran.	0	other
3	High-profile publicized examples of past attacks linked to the [E11:attacker] Sednit [E12:attacker] group include the US Democratic National Committee (DNC), the German Parliament and the [E21:location] French [E22:location] TV network TV5Monde.	1	attack
4	This common manufacturing approach is efficient, effective, and profitable.Now it appears cyber attack groups in the world’s largest manufacturing country are using a similar approach to infiltrate targeted networks and compromise data – collaborating for increased efficiency and effectiveness.FireEye Labs have published a report – Operation Quantum Entanglement – that details two attack campaigns by different groups in separate regions of China, apparently operating in parallel.The first group, named [E11:attacker] Moafee [E12:attacker], appears to operate from the Guandong Province. Its targets include the military organizations and [E21:industry] governments [E22:industry] of countries with national interests in the South China Sea, including some within the U.S. defense industrial base.	1	attack
5	0035 The MsnMM Campaigns [pdf] For over half a decade, the [E11:attacker] Naikon [E12:attacker] APT waged multiple attack campaigns on sensitive targets throughout South-eastern [E21:location] Asia [E22:location] and around the South China Sea.	1	attack
6	We have seen the actor deploying [E11:malware] Gamefish [E12:malware] and an updated version of its DealersChoice framework against embassies and [E21:location] EU [E22:location] agencies.	1	attack
7	AM, AZ, FR, DE, IQ, IT, KG, MA, CH, UA, US, VN DealersChoice emails, like the one above, that we were able to recover from third party sources provided additional targeting insight, and confirmed some of the targeting within our KSN data: TR, PL, BA, AZ, KR, LV, GE, LV, AU, SE, BE 0day Deployment(s) [E11:attacker] Sofacy [E12:attacker] kicked off the year deploying two 0day in a spearphish document, both a Microsoft Office encapsulated postscript type confusion exploit (abusing [E21:vulnerability] CVE-2017-0262 [E22:vulnerability]) and an escalation of privilege use-after-free exploit (abusing CVE-2017-0263).	2	use
8	We assess the targeting of multiple companies with aviation-related partnerships to Saudi Arabia indicates that [E11:attacker] APT33 [E12:attacker] may possibly be looking to gain insights on Saudi Arabia’s [E21:industry] military [E22:industry] aviation capabilities to enhance Iran’s domestic aviation capabilities or to support Iran’s military and strategic decision making vis a vis Saudi Arabia.	0	other
9	Although we have only directly observed [E11:attacker] APT33 [E12:attacker] use DROPSHOT to deliver the [E21:malware] TURNEDUP [E22:malware] backdoor, we have identified multiple DROPSHOT samples in the wild that drop SHAPESHIFT," the report reads.	2	use
10	[E11:malware] Miniduke [E12:malware] victims were located in the following 23 countries: [E21:location] Belgium [E22:location], Brazil, Bulgaria, Czech Republic, Georgia, Germany, Hungary, Ireland, Israel, Japan, Latvia, Lebanon, Lithuania, Montenegro, Portugal, Romania, Russian Federation, Slovenia, Spain, Turkey, Ukraine, United Kingdom and United States.	1	attack
11	So far, victims of [E11:malware] Regin [E12:malware] were identified in 14 countries: Algeria Afghanistan Belgium Brazil [E21:location] Fiji [E22:location] Germany Iran India Indonesia Kiribati Malaysia Pakistan Russia Syria In total, we counted 27 different victims, although it should be pointed out that the definition of a victim here refers to a full entity, including their entire network.	1	attack
12	Recorded Future analyzed an intrusion into one of our client’s networks and collaborated with Rapid7 to determine the scope of a cyberespionage campaign assessed to be conducted by a Chinese state-sponsored threat actor, [E11:attacker] APT10 [E12:attacker]. This report details the campaign using data acquired from targeted host networks, the Recorded FutureⓇ Platform, network metadata, VirusTotal, Farsight DNS, [E21:tool] Shodan [E22:tool], and other OSINT techniques.	2	use
13	These attacks were originally characterised by the misuse of stolen certificates, the deployment of HTA files using multiple methods and the infiltration of hotel Wi-Fi to place backdoors on targets’ computers The #[E11:attacker] Turla [E12:attacker] group makes use of satellite communications to manage its [E21:technique] C2 [E22:technique] traffic #KLReportTweet While the attackers behind this APT continue to use these methods, they have supplemented their armoury, shifting their attention more towards spear-phishing of their chosen victims.	2	use
14	According to their investigation, this malicious code was developed by a [E21:location] Russian [E22:location] cyber specialist, and there is the concrete possibility that [E11:malware] Turla [E12:malware] and Uroburos have been developed by the same group of experts, which according to BAE could be part of a cyber weapon program of the Russian government.	3	from
15	We’ve seen quite a few versions of these implants and they were relatively widespread for a time. #Sofacy group has been active since 2008, targeting mostly [E11:industry] military [E12:industry] and government entities in [E21:location] NATO [E22:location] countriesTweet Earlier this year, we noticed a new release of the AZZY implant which, at the time, was largely undetected by anti-malware products.	3	from
16	Both Turla’s [E11:malware] Mosquito [E12:malware] and Carbon projects focus mainly on [E21:industry] diplomatic [E22:industry] and foreign affairs targets.	1	attack
17	0493 During our continued research on Sofacy’s Komplex Trojan, we have found a sample of a [E21:technique] backdoor [E22:technique] Trojan that we believe the [E11:attacker] Sofacy [E12:attacker] group uses when targeting individuals running macOS systems.	2	use
18	Department of Justice on the ongoing activities of Chinese state-sponsored threat actors, we assess with high confidence that these incidents were conducted by [E11:attacker] APT10 [E12:attacker] (also known as Stone Panda, [E21:attacker] menuPass [E22:attacker], CVNX) in an effort to gain access to networks and steal valuable intellectual property or gain commercial advantage.	4	same
19	For roughly a week in January, [E11:malware] Coinhive [E12:malware] was found hidden inside of YouTube advertisements (via Google’s DoubleClick platform) in select countries, including Japan, [E21:location] France [E22:location], Taiwan, Italy and Spain.	1	attack
20	More recently, in May 2017, [E11:attacker] APT33 [E12:attacker] appeared to target a [E21:location] Saudi [E22:location] organization and a South Korean business conglomerate using a malicious file that attempted to entice victims with job vacancies for a Saudi Arabian petrochemical company.	1	attack
21	Similar to [E21:malware] RIPTIDE [E22:malware] and HIGHTIDE, the [E11:malware] WATERSPOUT [E12:malware] backdoor is an HTTP-based backdoor that communicates with its C2 server.	5	similar
22	Department of Justice on the ongoing activities of Chinese state-sponsored threat actors, we assess with high confidence that these incidents were conducted by [E11:attacker] APT10 [E12:attacker] (also known as Stone Panda, menuPass, CVNX) in an effort to gain access to networks and steal valuable intellectual property or gain commercial advantage. The targeted companies included: IT and business cloud services managed service provider (MSP) and Recorded Future client and supplier, Visma, a billion-dollar Norwegian company with at least 850,000 customers globally An international apparel company A U.S. law firm with strong experience in intellectual property law with clients in the [E21:industry] pharmaceutical [E22:industry], technology, electronics, biomedical, and automotive sectors, among others In all three incidents, the attackers gained access to networks through deployments of Citrix and LogMeIn remote-access software using stolen valid user credentials.	1	attack
23	Figure 3 contains an example [E21:technique] phishing [E22:technique] lure with HTML image tags used for additional tracking by [E11:attacker] APT32 [E12:attacker].	2	use
24	The experts confirmed that the bad actors who used [E11:malware] Trojan.Laziok [E12:malware] malware to target [E21:industry] energy [E22:industry] companies haven’t adopted a sophisticated hacking technique.	1	attack
25	[E11:attacker] Danti [E12:attacker]’s arsenal is more extensive than those of EvilPost and [E21:attacker] APT16 [E22:attacker], and in terms of functionality can be compared with Platinum.	0	other
26	The usage of the Java exploit for [E21:vulnerability] CVE-2013-2465 [E22:vulnerability] coupled with watering hole attacks is new, previously unseen development for the [E11:malware] NetTraveler [E12:malware] group.	2	use
27	[E11:malware] SNUGRIDE [E12:malware] is a [E21:technique] backdoor [E22:technique] that communicates with its C2 server through HTTP requests.	2	use
28	Threat Infrastructure The infrastructure associated with the [E11:malware] Emissary [E12:malware] [E21:technique] C2 [E22:technique] servers used in this attack includes ustar5.PassAs[.]us, 203.124.14.229 and dnt5b.myfw[.]us.	2	use
29	There appears to be several links between [E11:attacker] Turla [E12:attacker] and [E21:malware] Miniduke [E22:malware], but we will leave that for a future blogpost.	2	use
30	On January 8, 2018, Unit 42 observed the [E11:attacker] OilRig [E12:attacker] threat group carry out an attack on an insurance agency based in the Middle East. Just over a week later, on January 16, 2018, we observed an attack on a Middle Eastern [E21:industry] financial [E22:industry] institution.	1	attack
31	Multiple unnamed victim companies in different countries were targeted with the latest [E11:malware] BlackEnergy [E12:malware] malware, including victims in Russia, Germany, Belgium, [E21:location] Turkey [E22:location], Libya, Vietnam and several other countries.	1	attack
32	[E11:malware] Miniduke [E12:malware] victims were located in the following 23 countries: Belgium, Brazil, Bulgaria, Czech Republic, Georgia, Germany, Hungary, Ireland, Israel, Japan, Latvia, Lebanon, Lithuania, Montenegro, Portugal, Romania, Russian Federation, Slovenia, Spain, Turkey, [E21:location] Ukraine [E22:location], United Kingdom and United States.	1	attack
33	Read our report, [E11:attacker] APT37 [E12:attacker] ([E21:attacker] Reaper [E22:attacker]): The Overlooked North Korean Actor, to learn more about our assessment that this threat actor is working on behalf of the North Korean government, as well as various other details about their operations: Targeting: Primarily South Korea – though also Japan, Vietnam and the Middle East – in various industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive, and healthcare.	4	same
34	Ethical Hacking Training – Resources (InfoSec) In the arsenal of the [E11:attacker] APT28 [E12:attacker], there is also a Backdoor dubbed [E21:technique] Eviltoss [E22:technique] that uses asymmetric encryption to encrypt syphoned data from victims, and some sample detected by the experts also use SMTP to transfer stolen data outside the organization. “APT28 is most likely supported by a group of developers creating tools intended for long-term use and versatility, who make an effort to obfuscate their activity,” it wrote. “This suggests that APT28 receives direct ongoing financial and other resources from a well-established organization, most likely a nation state government.	2	use
35	Additionally, these decoy documents are hosted on legitimate websites including a government website belonging to the Cambodia [E21:industry] Government [E22:industry] and in at least once case, Facebook." Moreover, [E11:malware] PLAINTEE [E12:malware] downloads and installs additional plugins from its C&C server using the same custom UDP protocol that transmits data in encoded form.	1	attack
36	Both [E11:attacker] Turla [E12:attacker]’s Mosquito and [E21:malware] Carbon [E22:malware] projects focus mainly on diplomatic and foreign affairs targets.	2	use
37	Red October, EvilGrab, and [E11:malware] Nettraveler [E12:malware] (aka RedStar) targeted both [E21:industry] diplomatic [E22:industry] missions and commercial industries.	1	attack
38	To implant [E21:malware] LoJax [E22:malware] deep inside a system’s innards, [E11:attacker] Sednit [E12:attacker] has repurposed legitimate anti-theft software for laptops, which is known as LoJack (hence the rootkit’s name).	2	use
39	However, the UEFI [E21:technique] rootkit [E22:technique] component described above is in a league of its own. The [E11:malware] LoJax [E12:malware] campaign shows that high-value targets are prime candidates for the deployment of rare, even unique threats and such targets should always be on the lookout for signs of compromise.	2	use
40	Comparisons with cipher design and implementations we see in [E11:attacker] WhiteBear [E12:attacker], earlier [E21:malware] SPLM [E22:malware] and Zebrocy modules tell a few things about design decisions and culture.	0	other
41	Security firm Cylance today released an 86-page report on Operation [E11:attacker] Cleaver [E12:attacker] that lays out Iran’s hacking capabilities and motivations to attack global interests beyond the [E21:location] U.S. [E22:location] and Israel, long thought to be behind Stuxnet, and espionage campaigns using Flame and Duqu malware. “They have bigger intentions: to position themselves to impact critical infrastructure globally,” the report said. “We believe that if the operation is left to continue unabated, it is only a matter of time before the world’s physical safety is impacted by it.	1	attack
