0	Finally, some potential [E11:attacker] CozyDuke [E12:attacker] activity was detected during November 2018, apparently targeting [E21:industry] diplomatic [E22:industry] and governmental entities in Europe.	1	attack
1	Moafee may have chosen its targets based on the rich resources of South China Sea region – the world’s second business sea-lane, according to Wikipedia – including rare earth metals, crude oil, and natural gas.The second group, known as [E11:attacker] DragonOK [E12:attacker], targets high-tech and [E21:industry] manufacturing [E22:industry] companies in Japan and Taiwan.	1	attack
2	ELMER Backdoor The exploit documents delivered during the December campaigns dropped a binary containing an embedded variant of a [E21:technique] backdoor [E22:technique] we refer to as [E11:malware] ELMER [E12:malware].	2	use
3	The attackers, who seem to be Chinese-speaking and have been active for at least five years, target top-level [E11:industry] government [E12:industry] agencies and civil and military organisations in the Philippines, Malaysia, Cambodia, Indonesia, Vietnam, Myanmar, Singapore, Nepal, [E21:location] Thailand [E22:location], Laos and China.	3	from
4	It came to light in 2008, when [E11:attacker] Turla [E12:attacker] breached the [E21:location] US [E22:location] Department of Defense [1].	1	attack
5	Operation [E11:attacker] Beebus [E12:attacker] is an APT-style attack campaign targeting [E21:industry] government [E22:industry] agencies in the United States and India as well as numerous aerospace, defense, and telecom industry organizations. (adsbygoogle = window.adsbygoogle || []).push({}); FireEye Labs has linked the attacks to the China-based Comment Group hacker collective (a prolific actor believed to be affiliated with the Chines government), and Operation Beebus. “The set of targets cover all aspects of unmanned vehicles, land, air and sea, from research to design to manufacturing of the vehicles and their various subsystems.	1	attack
6	These tools include: [E11:malware] AIRBREAK [E12:malware]: a [E21:tool] JavaScript [E22:tool]-based backdoor also reported as “Orz” that retrieves commands from hidden strings in compromised webpages and actor controlled profiles on legitimate services.	2	use
7	Figure 9: [E11:malware] FakeM [E12:malware] using fake MSN messenger traffic for [E21:technique] C2 [E22:technique] communication Figure 10: FakeM using fake Yahoo! Messenger for C2 communication In addition to emulating chat programs, FakeM has also included HTML code within the 32-byte header.	2	use
8	In March, Kaspersky Lab released a report on [E11:malware] StoneDrill [E12:malware] linking the malware to a variant of [E21:malware] Shamoon [E22:malware], which targeted firms Saudi Aramco and Rasgas in 2012.	5	similar
9	DragonOK appears to operate out of China’s Jiangsu Province.It seems that both groups, while operating in distinctly different regions, either 1) collaborate, 2) receive the same training), 3) share a common toolkit supply chain, or 4) some combination of these scenarios, which means they are employing a ‘production line’-type approach to initiating cyber attacks to breach defenses.Mirroring Each OtherBoth campaigns use similar tools, techniques and procedures (TTPs) – including custom-built backdoors and remote-administration tools (RATs) to infiltrate their targets’ networks.Moafee and [E11:attacker] DragonOK [E12:attacker] both use a well-known [E21:technique] proxy [E22:technique] tool – HUC Packet Transmit Tool (HTRAN) – to disguise their geographical locations.	2	use
